Vendor,Product,Visible,Item Unit,Charge Unit,Package Name,# of Items,Purchase Price,Retail Price,Margin
Grazier's Garden,Green Tomatoes,Y,lb,lb,each,1,2.5,2,-25
Kiko Denzer,Handcrafted Egg Pushers,Y,ea,ea,each,1,13,10.75,-21
Grazier's Garden,Yukon Potatoes,Y,lb,lb,1 lb,1,4.25,3.5,-21
Grazier's Garden,Purple Shvelisi Garlic,Y,1/2 lb,1/2 lb,1/2 lb,1,7.25,6,-21
Grazier's Garden,Rainbow Chard,Y,bu,bu,each,1,4.25,3.5,-21
Jar Joy Goods,The Daily Jar Tote/Jar Bag: Organic Waxed Canvas-WFTO Certified,Y,ea,ea,each,1,64.75,54,-20
Jar Joy Goods,The Insulated Jar Tote/Jar Bag: Hemp + Natural Rubber (Yulex),Y,ea,ea,each,1,179,149.25,-20
,Handcrafted Wooden Spoons,Y,ea,ea,each,1,32.5,27,-20
OGC,Crimini Mushrooms,Y,lb,lb,1 lb,1,6,5,-20
OGC,Shiitake Mushrooms,Y,1/2 lb,1/2 lb,1/2 lb,1,6,5,-20
Grazier's Garden,Blue Sweet Kabocha,Y,ea,ea,each,1,4.75,4,-19
Grazier's Garden,Delicata Squash,Y,ea,ea,each,1,3.25,2.75,-18
Grazier's Garden,Spearmint,Y,bu,bu,each,1,3.5,3,-17
Camas Country Mill,Brown Teff Flour,Y,ea,ea,4 lbs,1,11.5,11.5,0
Lonesome Whistle,Dark Northern Rye Flour,Y,ea,ea,3.5 lbs,1,11.5,11.5,0
Camas Country Mill,Organic All Purpose Low Gluten Flour,Y,ea,ea,3.5 lbs,1,7,7,0
Camas Country Mill,Organic Oat Flakes,Y,ea,ea,3 lbs,1,7,7,0
Radiant Coffee Roasters,Brazil Cerrado Miniero - Dark Roast Coffee,Y,ea,ea,16 oz,1,17.75,17.75,0
Camas Country Mill,Sues Soup Mix,Y,ea,ea,2 lbs,1,14.75,14.75,0
The Fungi Pharm,Dual Extract Reishi Tincture,Y,ea,ea,2 oz,1,31,31,0
Grazier's Garden,Acorn squash,Y,ea,ea,Each,1,4.75,4.75,0
Grazier's Garden,Cone cabbage,Y,ea,ea,ea,1,3,3,0
Grazier's Garden,Purple curly kale,Y,ea,ea,ea,1,2,2,0
Deck Family Farm,SALE - Red Ranger Roaster,Y,ea,ea,"Small, 3-4 Lbs",1,22.4,23.52,5
Deck Family Farm,SALE - Roasting Chicken,Y,ea,ea,"Large, 4.3-5 lbs.",1,28,29.4,5
Creole Me Up,Pickleez with a Little Bit of Sass,Y,ea,ea,16.06oz,1,12,13,8
RL Plants,Dark Purple Iris Rhizome,Y,ea,ea,each,1,5,5.5,9
RL Plants,Yellow Iris Rhizome,Y,ea,ea,each,1,5,5.5,9
Grazier's Garden,Pea Shoots,Y,bag,bag,6 oz,1,4.5,5,10
RL Plants,Hen and Chicks Succulents,Y,ea,ea,each,1,4,4.5,11
RL Plants,Sedum Palmeri Succulents,Y,ea,ea,each,1,4,4.5,11
RL Plants,"Sedum Rupestre ""Blue Spruce""",Y,ea,ea,each,1,4,4.5,11
"Creamy Cow, LLC",Raw Sweet Cream Butter,Y,ea,ea,0.5 lbs,1,12,14,14
"Creamy Cow, LLC",Raw Cultured Butter,Y,ea,ea,0.5 lbs,1,11,13,15
"Creamy Cow, LLC",Raw Cultured Buttermilk,Y,ea,ea,1 qt,1,11,13,15
"Creamy Cow, LLC",Raw Farmer's Cheese,Y,ea,ea,12 oz,1,10,11.75,15
"Creamy Cow, LLC",Raw Fresh Sweet Cream,Y,ea,ea,1 pt,1,10,11.75,15
River Ranch Oregon Olive OIl,Flavor Infused Olive Oil- Red Pepper,Y,ea,ea,8.45oz (250mL),1,21.95,26,16
Deck Family Farm,Organic Pasture Raised Chicken Eggs,Y,ea,ea,1 dozen,1,7.7,9.24,17
"Creamy Cow, LLC",Raw Fresh Whole Milk,Y,ea,ea,1/2 gal,1,10,12,17
Deck Family Farm,Rendered Pork Back Fat,Y,ea,ea,16 oz,1,8.4,10.08,17
Deck Family Farm,Pork Chops,Y,ea,ea,"Boneless ,1- 1.5 lbs",1,17.33,20.8,17
Deck Family Farm,Bacon Ends & Pieces,Y,pk,pk,8 oz,1,8.4,10.08,17
Deck Family Farm,Pork Shoulder Roast,Y,ea,ea,2.0 - 3.0 lbs,1,34.65,41.58,17
Deck Family Farm,Beef Bones,Y,bag,bag,3 - 5 lbs,1,14,16.8,17
Deck Family Farm,Beef Brisket,Y,ea,ea,2.3-3.3 lbs,1,35.81,42.97,17
Deck Family Farm,Beef Chuck Roast,Y,ea,ea,2 - 3 lbs,1,32.55,39.06,17
Deck Family Farm,Beef Heart,Y,ea,ea,2.5 - 3 lb,1,16.8,20.16,17
Deck Family Farm,Rendered Beef Tallow,Y,ea,ea,16 oz,1,8.4,10.08,17
Deck Family Farm,Beef Patties,Y,pk,pk,1 lb / 3 Patties,1,9.28,11.14,17
Deck Family Farm,Beef Stew Meat,Y,ea,ea,1.2 - 1.4 lbs,1,15.19,18.23,17
Deck Family Farm,Ribeye Steak,Y,ea,ea,0.7- 0.9 lbs,1,20.79,24.95,17
Deck Family Farm,Bone-In Chicken Breast,Y,ea,ea,1.2 -1.8 lbs,1,25.2,30.24,17
Deck Family Farm,"Roast Beef, Sliced",Y,pk,pk,8 oz,1,11.55,13.86,17
Deck Family Farm,Rosette D' Oregon Salami,Y,ea,ea,4.5 oz,1,12.6,15.12,17
Deck Family Farm,Chicken Hindquarter,Y,ea,ea,1.3 - 1.75 lbs,1,19.6,23.52,17
Deck Family Farm,Chicken Liver,Y,ea,ea,1/2 lb,1,3.5,4.2,17
Deck Family Farm,Sage and Sea Salt Pork Breakfast Sausage,Y,pk,pk,each,1,9.8,11.76,17
Deck Family Farm,Chicken Wings,Y,ea,ea,1.8 - 2.2 lbs,1,21.56,25.87,17
Deck Family Farm,Fresh Garlic Sausage Links,Y,pk,pk,12 oz / 4 count,1,11.55,13.86,17
Deck Family Farm,Ground Beef - Organic,Y,ea,ea,1 lb,1,9.28,11.14,17
